exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E02-K5-G030-S42-R50,e02,30,35,5,42,50,1.7582708834169674,"[1.7776726648477426, 1.7717696550840096, 1.7605357484606026, 1.7513385352995425]","[-0.1328089163229187, -0.1118448952517328, -0.0727255509723892, -0.06178065390499121]","[1.7826268009882893, 1.7752963108366957, 1.7620372094175456, 1.7524278913616034]",2.719945211695447
GAP-E02-K5-G030-S42-R75,e02,30,35,5,42,75,1.7525077842044823,"[1.7721900327749756, 1.7655472825660874, 1.754355466861995, 1.7458637872140133]","[-0.15794207473962585, -0.12963387459018305, -0.06803555062647204, -0.07153428582513266]","[1.7792142117350642, 1.7703000164993952, 1.7556742124487719, 1.7473286804587649]",2.731822631479479
GAP-E02-K5-G030-S42-R100,e02,30,35,5,42,100,1.7516068109790184,"[1.7713960712624184, 1.764539561448156, 1.7533717271371543, 1.7450175077472407]","[-0.16997177595832014, -0.13414314627685675, -0.05778407034439503, -0.07062582171375276]","[1.7795320866404607, 1.7696311049506068, 1.7543236338570751, 1.746446136884025]",2.7330738861623507
GAP-E02-K5-G030-S42-R150,e02,30,35,5,42,150,1.7514095621711054,"[1.7713084709039408, 1.7641147149489738, 1.7529912991415777, 1.7449550418997979]","[-0.18427386494945353, -0.1258353685352751, -0.04219849134656428, -0.0653689487776834]","[1.7808680032385045, 1.7685969813126035, 1.7534991324600087, 1.746179027968159]",2.7292493853833517
GAP-E02-K5-G030-S42-R200,e02,30,35,5,42,200,1.751674690748078,"[1.7717856424517204, 1.7643571043932789, 1.7532782605972577, 1.7451884334492325]","[-0.18636652415509047, -0.12139063006916295, -0.03927291996786941, -0.0645282500495421]","[1.7815605472393785, 1.7685281557986914, 1.753718222522427, 1.7463812094368982]",2.727708859188402
GAP-E02-K5-G030-S42-R250,e02,30,35,5,42,250,1.752025215985916,"[1.7722070008418227, 1.764833593109776, 1.7536204587912108, 1.7455027771953149]","[-0.18900435918865321, -0.11947492042346708, -0.03721283600109171, -0.06648598483527657]","[1.7822579800453846, 1.7688733798122094, 1.7540154102158505, 1.7467688248940678]",2.7278629187721637
GAP-E02-K5-G030-S42-R300,e02,30,35,5,42,300,1.7525333791778828,"[1.772667038961232, 1.7653122356890623, 1.7540969086389915, 1.746040192846615]","[-0.18972521864155745, -0.11787312176467646, -0.03582002114818783, -0.06850499067003524]","[1.7827929469772408, 1.7692436739039563, 1.7544627604610965, 1.7473839982282982]",2.727809248547419
GAP-E02-K5-G060-S42-R50,e02,60,63,5,42,50,1.7595470119045449,"[1.778170334365782, 1.773261492063213, 1.7611732315236412, 1.752977366747675]","[-0.10183103444996844, -0.07879708973833255, -0.14547998341118618, -0.18491854412310182]","[1.781083742443254, 1.7750113522412985, 1.7671716320178819, 1.7627037517093505]",2.7540011945546645
GAP-E02-K5-G060-S42-R75,e02,60,63,5,42,75,1.7539454953998452,"[1.772267010536265, 1.7668582649296356, 1.7556173971760651, 1.7475911627372358]","[-0.12122554773306149, -0.09909090035196, -0.17350702985526167, -0.20600712192914328]","[1.7764081710176662, 1.7696347461786355, 1.7641703814191123, 1.7596913952062199]",2.7762223178641823
GAP-E02-K5-G060-S42-R100,e02,60,63,5,42,100,1.7532129205637679,"[1.771497274636329, 1.7658502848597755, 1.7548827083336105, 1.7469331413457743]","[-0.12224084246352307, -0.10203333701293227, -0.18672608044337835, -0.21137710049992142]","[1.775709834857636, 1.7687956440474815, 1.7647889264039691, 1.759674881233579]",2.7818981046115328
GAP-E02-K5-G060-S42-R150,e02,60,63,5,42,150,1.7532370402123907,"[1.77158792070667, 1.765595610885694, 1.7550208732134165, 1.7469616209817669]","[-0.12294808641792399, -0.1022553444102563, -0.20235768931896692, -0.20362667617231311]","[1.7758490909982618, 1.7685542164828556, 1.7666487240212776, 1.7587902273062883]",2.7840700229535584
GAP-E02-K5-G060-S42-R200,e02,60,63,5,42,200,1.7534745454516525,"[1.7720434449184754, 1.7656727132076775, 1.7554362915731918, 1.7471230180185235]","[-0.12173928413786017, -0.10453616948654476, -0.20474564847285892, -0.1991634199606902]","[1.7762202755388674, 1.7687645273268102, 1.7673369171912299, 1.7584408873352622]",2.783796727219399
GAP-E02-K5-G060-S42-R250,e02,60,63,5,42,250,1.753935647656896,"[1.7727972125096565, 1.7660614478677552, 1.7558568409814672, 1.7475859053353007]","[-0.12171481786476068, -0.1047236858764462, -0.20808157468730393, -0.1972468479043683]","[1.7769706212956964, 1.7691636800386972, 1.768144799410185, 1.758686288981453]",2.7841848138952328
GAP-E02-K5-G060-S42-R300,e02,60,63,5,42,300,1.754388439863704,"[1.7731901231428204, 1.7666328713401516, 1.7562533564482083, 1.7480446632924505]","[-0.12173605119620401, -0.10905915149471745, -0.2094591644472512, -0.19484649377810692]","[1.777364104967132, 1.7699959553929554, 1.7687019939022603, 1.7588757245045707]",2.7849961603489577
GAP-E02-K5-G090-S42-R50,e02,90,91,5,42,50,1.761574831364096,"[1.7790249475083535, 1.775104594992908, 1.7630606950077936, 1.7552681941170118]","[-0.11268208833022664, -0.040334844741340525, -0.10232073081647686, -0.14674019325003362]","[1.782589974415755, 1.7755627904597584, 1.7660273345099113, 1.7613912448953108]",2.726494726528816
GAP-E02-K5-G090-S42-R75,e02,90,91,5,42,75,1.755596960430647,"[1.7745376550369363, 1.769234589546282, 1.7565698757723949, 1.7493335086550783]","[-0.1288555895511494, -0.05732084609243637, -0.1232952242331633, -0.16966908471732634]","[1.7792098392552134, 1.770162905566534, 1.76089166071901, 1.7575424099612227]",2.7458066305225484
GAP-E02-K5-G090-S42-R100,e02,90,91,5,42,100,1.7547293921932432,"[1.7738749130797626, 1.76825367026822, 1.7556542280853242, 1.7484927146176434]","[-0.13067277902838415, -0.059256698755379755, -0.12300274614945295, -0.17247657263781413]","[1.778681416789622, 1.769246279850382, 1.7599577961286976, 1.7569789245121474]",2.7473766175058443
GAP-E02-K5-G090-S42-R150,e02,90,91,5,42,150,1.7548563264810975,"[1.7742955055858296, 1.7686640617003322, 1.755888363628755, 1.7484584767143687]","[-0.12272887394495013, -0.05095109908453255, -0.12325812896081612, -0.17213984614431999]","[1.7785350591698945, 1.7693978008487063, 1.7602092277137047, 1.756912297700728]",2.7433523785905636
GAP-E02-K5-G090-S42-R200,e02,90,91,5,42,200,1.7552375322933325,"[1.7747916527461993, 1.7691847541454788, 1.7562522164971095, 1.748799119671799]","[-0.1192934202330358, -0.04804220601263465, -0.12155408484194918, -0.17440732637837097]","[1.7787963495366197, 1.7698369269114482, 1.7604537232988298, 1.757475248387694]",2.7419433417909578
GAP-E02-K5-G090-S42-R250,e02,90,91,5,42,250,1.7556758705502573,"[1.775287483870086, 1.7695552544043982, 1.7567149672696551, 1.749235024562045]","[-0.1195358765161334, -0.04979094036807563, -0.12143766040988746, -0.1741377745134156]","[1.779307379063044, 1.7702556132548297, 1.7609073504570758, 1.757882926868621]",2.7423378375739786
GAP-E02-K5-G090-S42-R300,e02,90,91,5,42,300,1.7562698694425107,"[1.7759712403295345, 1.7701949715292147, 1.757156264106294, 1.7498827252280649]","[-0.11971972374660611, -0.04950815547464549, -0.12199753474060326, -0.1790605957688629]","[1.7800019599546602, 1.7708871497071699, 1.7613862915186962, 1.7590222158424154]",2.7437143277625027
GAP-E02-K5-G120-S42-R50,e02,120,126,5,42,50,1.762313396858985,"[1.7819360953820835, 1.7754238349139524, 1.7625620530237809, 1.7564586219474578]","[-0.15167006674847183, -0.117902758121748, -0.12327212693974099, -0.11627225925625417]","[1.7883791704146612, 1.7793343850870977, 1.7668675694685365, 1.7603028514679273]",2.752722803477497
GAP-E02-K5-G120-S42-R75,e02,120,126,5,42,75,1.7573764857749443,"[1.7769970157614854, 1.7710368931854383, 1.7582851340145296, 1.7510544935542105]","[-0.16799796376421572, -0.14046961065843133, -0.14479524322016912, -0.13613065572676364]","[1.7849206452540536, 1.7765988259994043, 1.7642370234624596, 1.7563380639344441]",2.772807338988319
GAP-E02-K5-G120-S42-R100,e02,120,126,5,42,100,1.7568049253237552,"[1.776336889855653, 1.7705471986910168, 1.7577730596361802, 1.7504437942592397]","[-0.15639866300591665, -0.13939531066991906, -0.1423448506635796, -0.1342357017298932]","[1.7832087056909776, 1.776026023297342, 1.7635272001568831, 1.7555832935180264]",2.7686022023230246
GAP-E02-K5-G120-S42-R150,e02,120,126,5,42,150,1.7570946704367005,"[1.7762489284311576, 1.7707391809989446, 1.7581098838659242, 1.7507816538322207]","[-0.14610944730829756, -0.13137862711137682, -0.1372346648514693, -0.12535934188397757]","[1.782248089444007, 1.7756062600908755, 1.7634578910599463, 1.7552639015239475]",2.760539939532773
GAP-E02-K5-G120-S42-R200,e02,120,126,5,42,200,1.757415771119492,"[1.7765382084526193, 1.7711174654203548, 1.75839300637917, 1.7511114252477962]","[-0.13976642301403652, -0.13226798183619382, -0.13524200561132282, -0.1267274594917871]","[1.7820277138973166, 1.7760495208411866, 1.7635865809953137, 1.7556910554474454]",2.759058249921934
GAP-E02-K5-G120-S42-R250,e02,120,126,5,42,250,1.7579854493761722,"[1.7770783417770906, 1.7717349381019198, 1.7588323820608385, 1.7517379993022875]","[-0.13939500204761623, -0.13496592487140324, -0.1371871670107634, -0.12479882044611923]","[1.7825371375924652, 1.7768681758194727, 1.764175758302424, 1.7561778963654455]",2.759631101090949
GAP-E02-K5-G120-S42-R300,e02,120,126,5,42,300,1.7586578594335713,"[1.777590521408788, 1.7724372551176115, 1.7595502362384505, 1.7524002393632194]","[-0.13788129462023768, -0.13340865743854957, -0.13601374697203905, -0.12319076042256327]","[1.7829301156864548, 1.7774509137735979, 1.7648008008005316, 1.7567249795303597]",2.758167960164047
