exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E03A-K5-G060-S42-R150,e03a,60,63,5,42,150,1.7621450814531459,"[1.7771307956375757, 1.7723916453730173, 1.7631916476158171, 1.7571869431187888]","[-0.060513017228553956, -0.01522607727100267, -0.06242254125342317, -0.1159030183253913]","[1.7781607604650225, 1.7724570454646098, 1.764296278939202, 1.7610052421057951]",2.6895815792146633
GAP-E03A-K5-G060-S42-R200,e03a,60,63,5,42,200,1.762497187254898,"[1.7775438897352571, 1.772706944679931, 1.7633445942352253, 1.7576402065984311]","[-0.06052719564409692, -0.016036961453522736, -0.06305042832470509, -0.11645222733126781]","[1.7785740977951092, 1.772779483141972, 1.764471455699714, 1.7614937460834732]",2.6900845434929326
GAP-E03A-K5-G060-S42-R250,e03a,60,63,5,42,250,1.7628457452765585,"[1.7779593754739411, 1.7730296239305492, 1.7635437378751964, 1.7580615755390692]","[-0.06099685809732458, -0.016268564131088237, -0.06333504690786729, -0.11668191032921893]","[1.7790053845288492, 1.773104259064929, 1.7646806641290003, 1.7619293914046228]",2.6903872172502115
GAP-E03A-K5-G060-S42-R300,e03a,60,63,5,42,300,1.7631931381820454,"[1.7783427107737377, 1.773250696036756, 1.763801216494706, 1.7584810129880757]","[-0.061358975112648206, -0.017049428089886742, -0.06324448117966508, -0.11702697140326102]","[1.7794009446042545, 1.773332657742021, 1.7649347335295578, 1.7623708051551776]",2.6907349856391356
GAP-E03A-K5-G090-S42-R50,e03a,90,91,5,42,50,1.767586273785614,"[1.7814843217757148, 1.777973558807969, 1.7686722987290087, 1.7627091840595657]","[-0.08743581611063878, -0.014056767241764856, -0.012984605153549822, -0.03636497753420276]","[1.7836287199615317, 1.7780291247686477, 1.7687199609498245, 1.7630842518606429]",2.6630795265750407
GAP-E03A-K5-G090-S42-R75,e03a,90,91,5,42,75,1.7626173889289167,"[1.7781138219536654, 1.773100273094855, 1.7636178537759528, 1.7575593813358203]","[-0.11053654926605594, -0.0348565859444574, -0.03494454106971334, -0.058468109083297914]","[1.781546264497871, 1.7734428550231758, 1.7639640175207292, 1.7585316314190451]",2.68506763895533
GAP-E03A-K5-G090-S42-R100,e03a,90,91,5,42,100,1.762042833004689,"[1.77789489241459, 1.7725163778013755, 1.7629413321576035, 1.7569936898028224]","[-0.11366698313331147, -0.039789608735111504, -0.040594556574120144, -0.06493955402466689]","[1.7815247490642714, 1.7729629219296725, 1.76340864766312, 1.7581933829029899]",2.6901339433722704
GAP-E03A-K5-G090-S42-R150,e03a,90,91,5,42,150,1.7621276082601232,"[1.7781784650648587, 1.7725092064576358, 1.76316877738991, 1.7570052670452594]","[-0.11376461918247083, -0.041432434340447966, -0.043276637021088415, -0.06819684894634204]","[1.7818139751944222, 1.7729933822754256, 1.7636998057703828, 1.758328273853035]",2.6920734974671965
GAP-E03A-K5-G090-S42-R200,e03a,90,91,5,42,200,1.7624519596874288,"[1.778570338555067, 1.7728731318257052, 1.763549070773342, 1.7572833137514483]","[-0.11446880330131215, -0.04217372225195648, -0.04363009693771858, -0.06906370651926697]","[1.782250138685129, 1.7733746826559829, 1.764088691189962, 1.7586399405072803]",2.692740390512487
GAP-E03A-K5-G090-S42-R250,e03a,90,91,5,42,250,1.7629174841338402,"[1.7789680792099845, 1.773344770502981, 1.7639873429271302, 1.7577694087603921]","[-0.11440531781516805, -0.042119784928867254, -0.044220607896045205, -0.06911863995627021]","[1.782642987672055, 1.7738449105589575, 1.7645415291711932, 1.75912781819948]",2.6928739844197045
GAP-E03A-K5-G090-S42-R300,e03a,90,91,5,42,300,1.7634349282721857,"[1.779360169659283, 1.7738838904814427, 1.7643066185308913, 1.7583961874171314]","[-0.11432049481450957, -0.04303728034713661, -0.04445992936489951, -0.06962795102754882]","[1.783028834584176, 1.774405895414199, 1.7648667172087076, 1.7597741910504876]",2.6932712722288894
GAP-E03A-K5-G120-S42-R50,e03a,120,126,5,42,50,1.766461711678993,"[1.7845668239952506, 1.7783066632101878, 1.767024292497663, 1.7609560443473269]","[-0.14888271143538923, -0.09225091587589374, -0.08087550286864031, -0.07582331858693792]","[1.7907665428717527, 1.7806978463225291, 1.7688741326734134, 1.7625876902341402]",2.7246655700731517
GAP-E03A-K5-G120-S42-R75,e03a,120,126,5,42,75,1.7629150958731852,"[1.780729854961173, 1.7753153367447136, 1.7638983458254343, 1.7570965657931799]","[-0.166475759762025, -0.11749593136136127, -0.10370573735021571, -0.10000507269149361]","[1.7884946169721572, 1.7791992127829501, 1.766944326900272, 1.7599401569616557]",2.7471593740541613
GAP-E03A-K5-G120-S42-R100,e03a,120,126,5,42,100,1.7626346001634579,"[1.7802997062133872, 1.775096082278057, 1.7634953286284916, 1.7568807271460498]","[-0.1616437467633376, -0.12066298816590981, -0.10964405420751344, -0.10555154307594794]","[1.7876229313843464, 1.7791924173714415, 1.7669005610722899, 1.7600485838927702]",2.749675593186613
GAP-E03A-K5-G120-S42-R150,e03a,120,126,5,42,150,1.762806049987263,"[1.78011119257856, 1.7751155653293489, 1.7636615299802563, 1.7571377883313335]","[-0.15155389207488978, -0.11853566901682688, -0.10905026705900811, -0.10718752889302063]","[1.7865511669151735, 1.779068850602236, 1.7670296978483242, 1.760404037013129]",2.7469497295528895
GAP-E03A-K5-G120-S42-R200,e03a,120,126,5,42,200,1.763177089029117,"[1.7805650467506209, 1.775412957681192, 1.7637962069453863, 1.7576350681927753]","[-0.14556584344234036, -0.11677806567106863, -0.10909752220091473, -0.10751751793937325]","[1.7865057556382764, 1.7792493660979414, 1.767167098390476, 1.7609205120063953]",2.745145568744136
GAP-E03A-K5-G120-S42-R250,e03a,120,126,5,42,250,1.7635826559081613,"[1.78114561913807, 1.7760679195015694, 1.7640710293694495, 1.7580217828754265]","[-0.14154208952746616, -0.1168327209024973, -0.11020426432555341, -0.10742419464414255]","[1.7867612255379905, 1.779906505508476, 1.7675103208362317, 1.761300811678303]",2.7444290506929403
GAP-E03A-K5-G120-S42-R300,e03a,120,126,5,42,300,1.7641493062852691,"[1.781558684837907, 1.7765239081396327, 1.7646705979482997, 1.7586188376710832]","[-0.1361243038591642, -0.11549652697329105, -0.1106482189520106, -0.10739089862810802]","[1.7867532088732982, 1.7802743506725267, 1.7681368625792946, 1.761894738391324]",2.742875517998479
