namespace,source_ref,source_path,sha256,size_bytes,referenced_by,clean_snapshot_path,status
independent_renewal,codex/renewal-01,src/calval.py,d791fcfb34ab24d3b09b76e96f0b6bc16700d354ab36693f691004ac96499d0d,47487,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_renewal/src/calval.py,snapshotted
independent_renewal,codex/renewal-01,src/config.py,8dd82be5291da32971ac285b13e3eb02c5702bc0e5eaec9152e7002159dcf324,6093,experiments/exp_016_validator_calibration.md;experiments/exp_017_capacity_curve.md;experiments/exp_018_seed_average.md;protocol_dependency,code_index/snapshots/independent_renewal/src/config.py,snapshotted
independent_renewal,codex/renewal-01,src/final_experiments.py,d27b343a9e67cd6adf33ed17b81e2354c5fed1247a130f801ce946a0a618bd2b,16551,experiments/exp_007_radical_minimalism.md;experiments/exp_008_cohort_similarity.md,code_index/snapshots/independent_renewal/src/final_experiments.py,snapshotted
independent_renewal,codex/renewal-01,src/holiday_yoy.py,676bee6a5ffe74cae85ae72405f47dbee1b9123cd99986fac8e6502ff3538bfb,38104,experiments/exp_023_holiday_yoy.md,code_index/snapshots/independent_renewal/src/holiday_yoy.py,snapshotted
independent_renewal,codex/renewal-01,src/mhz.py,9558f81cd1d0774e7939d73a1060cd7e2b246b6a585f84fcdd638458644254f2,34439,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_renewal/src/mhz.py,snapshotted
independent_renewal,codex/renewal-01,src/models.py,c0dd7b75dc15d72a12b2f2c672ca6f7050f02034e0763fc8057d1e7b9db0ada4,7625,experiments/exp_013_s1_e11_two_part.md,code_index/snapshots/independent_renewal/src/models.py,snapshotted
independent_renewal,codex/renewal-01,src/predict.py,1d0c1be8fe5b2eda0712ea6851c2bf4625edc11ebc251b6d1192851f0707b39b,7447,experiments/exp_015_last_fold_only.md,code_index/snapshots/independent_renewal/src/predict.py,snapshotted
independent_renewal,codex/renewal-01,src/ptime.py,ff0ef1c1c7acbdcae1b21c11bf07fac17b41c8c8f73acf47af80c17be76e68af,17170,experiments/exp_021_personal_time.md,code_index/snapshots/independent_renewal/src/ptime.py,snapshotted
independent_renewal,codex/renewal-01,src/ptime_eval.py,acd5c5a3f50a9117b9f6d12f4bc21b2ec6b15a09017b415dcfde2e9b450103b0,13647,experiments/exp_021_personal_time.md,code_index/snapshots/independent_renewal/src/ptime_eval.py,snapshotted
independent_renewal,codex/renewal-01,src/ptime_imp.py,f37b39e2c85398a3bd45cb28c3f1d4fff6914ffbc5305a9c3e4c79e9c2a269df,6817,experiments/exp_021_personal_time.md,code_index/snapshots/independent_renewal/src/ptime_imp.py,snapshotted
independent_renewal,codex/renewal-01,src/renewal.py,0bf17c6c129612699ddec01f0385dd99ca2b4fa5b8e91936e2dd1bb068375dec,28010,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_renewal/src/renewal.py,snapshotted
independent_renewal,codex/renewal-01,src/renewal_eval.py,ad3d1246e0c10732ca63a3b37e6bab3d700344640614922e054fa5d4aaea06c0,29852,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_renewal/src/renewal_eval.py,snapshotted
independent_renewal,codex/renewal-01,src/report.py,651a606beda74bcfe0fc16dc8ffc6bed336ddb5ee13d8ebb5b8cdb176f295da3,6841,experiments/exp_016_validator_calibration.md,code_index/snapshots/independent_renewal/src/report.py,snapshotted
independent_renewal,codex/renewal-01,src/seedavg.py,4890b0fe9d04c34f8a5d6a9993062f4970a9ffb79c96bfb3d74d7ac827bc85bb,7664,experiments/exp_018_seed_average.md,code_index/snapshots/independent_renewal/src/seedavg.py,snapshotted
independent_renewal,codex/renewal-01,src/seq.py,688bdbbadac1e218f61839ff4846f89e99de82517e173a900aec9b4a3311c206,30765,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_renewal/src/seq.py,snapshotted
independent_renewal,codex/renewal-01,src/smoke.py,579e1e330fbdd9a2cb1614a3621930f8c65164e2f0d0f58de450a4f6a6b1ec8f,3708,experiments/exp_021_personal_time.md,code_index/snapshots/independent_renewal/src/smoke.py,snapshotted
independent_renewal,codex/renewal-01,src/test_calval.py,ccf9cd443dc1abb5e0b693a3258e2ef7c3f7b5f412d115f3413898b81b42c938,9327,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_renewal/src/test_calval.py,snapshotted
independent_renewal,codex/renewal-01,src/test_mhz.py,bc29a395cabcdb35ad33c4ff880ef5a4808915c02597fdd0a50763db57723684,9400,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_renewal/src/test_mhz.py,snapshotted
independent_renewal,codex/renewal-01,src/test_pipeline.py,ffd73048dd0ff6b400d289c956ad23993632f0d68ada68abc63b26c2ee5e503f,8743,experiments/exp_014_s1_dist_head.md;experiments/exp_015_last_fold_only.md,code_index/snapshots/independent_renewal/src/test_pipeline.py,snapshotted
independent_renewal,codex/renewal-01,src/test_renewal.py,371f472ba6bcaf25596e3e686098601d18a7ce270990c1e9c627ab179707bd3f,4918,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_renewal/src/test_renewal.py,snapshotted
independent_renewal,codex/renewal-01,src/test_seq.py,2ccf8773edf39b47b3f0e4d424a606405636b3d458c7b85d2a4210d767657f91,11916,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_renewal/src/test_seq.py,snapshotted
independent_renewal,codex/renewal-01,src/test_validation.py,247efec2a32b7b349e6d2d86c4138e5639f6d9727527ebd1b3a5b6998d3bf1c2,7913,experiments/exp_016_validator_calibration.md,code_index/snapshots/independent_renewal/src/test_validation.py,snapshotted
independent_renewal,codex/renewal-01,src/train.py,ac24929803ecafa94bda36ebf353f9462edf217fbe58cd41aa915f00949c6d5a,23739,experiments/exp_017_capacity_curve.md;experiments/exp_018_seed_average.md,code_index/snapshots/independent_renewal/src/train.py,snapshotted
independent_renewal,codex/renewal-01,src/validation.py,69fe796af2ec03b870ad982df8aacaaeca445ef875a953c5b5ac1d999725956e,8146,experiments/exp_016_validator_calibration.md;experiments/exp_017_capacity_curve.md;experiments/exp_018_seed_average.md;protocol_dependency,code_index/snapshots/independent_renewal/src/validation.py,snapshotted
independent_domain,codex/domain-01,research/strategies/results/MHZ/analyze.py,55dde1dfae71618fddc00691f76262d8eb46f90ecc1498cb117d9aa0b0e7ecd6,11854,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_domain/research/strategies/results/MHZ/analyze.py,snapshotted
independent_domain,codex/domain-01,research/strategies/results/MHZ/run.sh,c034a439094fc2b2158e462e71ad10c6ed0937fe567208d1366d9c235c26a6c1,1480,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_domain/research/strategies/results/MHZ/run.sh,snapshotted
independent_domain,codex/domain-01,research/strategies/results/SEQ/run.sh,a01ba80864b725180791fb3bbc8bb55183f21f4adbfb452c2046ef6ef99c8000,2768,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_domain/research/strategies/results/SEQ/run.sh,snapshotted
independent_domain,codex/domain-01,research/strategies/results/STRATEGY_08/run.sh,664ede01a6577a34c07ce606d54642636c7d7b10cbfd3a6654503dbb699ab015,3570,experiments/exp_021_personal_time.md,code_index/snapshots/independent_domain/research/strategies/results/STRATEGY_08/run.sh,snapshotted
independent_domain,codex/domain-01,src/blend.py,de0c325c07425ef23e107675816f4ee7fca0bbfc2ca88193d15cbfb18197d739,8786,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_domain/src/blend.py,snapshotted
independent_domain,codex/domain-01,src/calval.py,d791fcfb34ab24d3b09b76e96f0b6bc16700d354ab36693f691004ac96499d0d,47487,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_domain/src/calval.py,snapshotted
independent_domain,codex/domain-01,src/config.py,8dd82be5291da32971ac285b13e3eb02c5702bc0e5eaec9152e7002159dcf324,6093,experiments/exp_016_validator_calibration.md;experiments/exp_017_capacity_curve.md;experiments/exp_018_seed_average.md;protocol_dependency,code_index/snapshots/independent_domain/src/config.py,snapshotted
independent_domain,codex/domain-01,src/domain01.py,4fb6e65af190296093dfc3ac731efe1f5446a51b27af19b0027ee30f4417d1da,58236,experiments/exp_028_domain_shift.md,code_index/snapshots/independent_domain/src/domain01.py,snapshotted
independent_domain,codex/domain-01,src/final_experiments.py,d27b343a9e67cd6adf33ed17b81e2354c5fed1247a130f801ce946a0a618bd2b,16551,experiments/exp_007_radical_minimalism.md;experiments/exp_008_cohort_similarity.md,code_index/snapshots/independent_domain/src/final_experiments.py,snapshotted
independent_domain,codex/domain-01,src/holiday_yoy.py,676bee6a5ffe74cae85ae72405f47dbee1b9123cd99986fac8e6502ff3538bfb,38104,experiments/exp_023_holiday_yoy.md,code_index/snapshots/independent_domain/src/holiday_yoy.py,snapshotted
independent_domain,codex/domain-01,src/mhz.py,9558f81cd1d0774e7939d73a1060cd7e2b246b6a585f84fcdd638458644254f2,34439,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_domain/src/mhz.py,snapshotted
independent_domain,codex/domain-01,src/models.py,c0dd7b75dc15d72a12b2f2c672ca6f7050f02034e0763fc8057d1e7b9db0ada4,7625,experiments/exp_013_s1_e11_two_part.md,code_index/snapshots/independent_domain/src/models.py,snapshotted
independent_domain,codex/domain-01,src/predict.py,1d0c1be8fe5b2eda0712ea6851c2bf4625edc11ebc251b6d1192851f0707b39b,7447,experiments/exp_015_last_fold_only.md,code_index/snapshots/independent_domain/src/predict.py,snapshotted
independent_domain,codex/domain-01,src/ptime.py,ff0ef1c1c7acbdcae1b21c11bf07fac17b41c8c8f73acf47af80c17be76e68af,17170,experiments/exp_021_personal_time.md,code_index/snapshots/independent_domain/src/ptime.py,snapshotted
independent_domain,codex/domain-01,src/ptime_eval.py,acd5c5a3f50a9117b9f6d12f4bc21b2ec6b15a09017b415dcfde2e9b450103b0,13647,experiments/exp_021_personal_time.md,code_index/snapshots/independent_domain/src/ptime_eval.py,snapshotted
independent_domain,codex/domain-01,src/ptime_imp.py,f37b39e2c85398a3bd45cb28c3f1d4fff6914ffbc5305a9c3e4c79e9c2a269df,6817,experiments/exp_021_personal_time.md,code_index/snapshots/independent_domain/src/ptime_imp.py,snapshotted
independent_domain,codex/domain-01,src/renewal.py,0bf17c6c129612699ddec01f0385dd99ca2b4fa5b8e91936e2dd1bb068375dec,28010,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_domain/src/renewal.py,snapshotted
